編號,name,別稱,標高M,三角點,緯度N,經度E,圖名,圖號,山脈,轄區,轄區,區域,備註,latitude,longitude
45,詩崙山,,3194,,281005,2703827,南山,9621-1.NW,雪山山脈,新竹尖石,台中和平,,,24.438479716,121.313960435
46,喀拉業山,加留坪山,3133,二等1549,281745.052,2705100.242,南山,9621-1.NW,雪山山脈,新竹尖石,宜蘭大同,,,24.449960337,121.321288219
47,巴沙拉雲山,巴撒拉雲山,3402,森林,275374,2703774,南山,9621-1.NW,大霸尖支脈,新竹尖石,苗栗泰安,,,24.438106256,121.258424444
48,大霸尖山,酒桶山,3492,二等1540,275330.034,2705948.74,興隆山,9621-4.NE,大霸尖支脈,新竹尖石,苗栗泰安,,,24.457742558,121.258030815
49,東霸尖山,龜甲山,3365,,276757,2705951,興隆山,9621-4.NE,大霸尖支脈,新竹尖石,,,,24.457738284,121.272106285
50,小霸尖山,,3418,,274731,2705699,興隆山,9621-4.NE,大霸尖支脈,苗栗泰安,,,,24.455497646,121.252117519
51,中霸尖山,,3392,,275028,2706691,興隆山,9621-4.NE,大霸尖支脈,新竹尖石,苗栗泰安,,,24.464449413,121.255065081
52,伊澤山,江澤山,3297,三等6251,273964.976,2707302.432,興隆山,9621-4.NE,大霸尖支脈,新竹尖石,苗栗泰,安,,24.469987309,121.244589631
53,耶巴奧山,牙拉巴烏山,3192,,272623,2706951,興隆山,9621-4.NE,加利山支稜,苗栗泰安,,,,24.466835106,121.231345427
54,加利山,麥巴拉邊山,3112,三等6619,271088.612,2706136.159,興隆山,9621-4.NE,加利山支稜,苗栗泰安,基點3089,,,24.459500372,121.216196705
55,翠池三叉山,翠池山,3585,,271021,2697249,興隆山,9621-4.NE,雪山山脈,台中和平,苗栗泰安,,,24.379259294,121.215393524
56,雪山西南峰,,3471,,270036,2698402,梨山,9621-4.SE,大劍山支脈,台中和平,,,,24.389683259,121.205700414
57,大劍山,巴多瓦諾敏山,3594,三等6610,269515.484,2693002.903,梨山,9621-4.SE,大劍山支脈,台中和平,,,,24.340941378,121.200491989
58,劍南尖,,3047,,270413,2691595,梨山,9621-4.SE,大劍山支脈,台中和平,,,,24.328217349,121.209315995
59,布伕奇寒山,,3280,,269521,2690467,梨山,9621-4.SE,大劍山支脈,台中和平,,,,24.318044382,121.200510314
60,油婆蘭山,,3308,,270059,2690953,梨山,9621-4.SE,大劍山支脈,台中和平,,,,24.322425435,121.205818362
61,佳陽山,阿都般山,3314,二等1462,268252.614,2689201.363,梨山,9621-4.SE,大劍山支脈,台中和平,,,,24.306632775,121.187995937
62,劍山,小劍山,3253,,266448,2687974,梨山,9621-4.SE,大劍山支脈,台中和平,,,,24.295571698,121.170201692
63,博可爾山,雪山西峰,3265,,269025,2699173,興隆山,9621-4.NE,雪山山脈,台中和平,苗栗泰安,,,24.396657846,121.195744054
64,博可爾山基點峰,,3260,,269660,2699271,興隆山,9621-4.NE,雪山山脈,台中和平,苗栗泰安,,,24.397534469,121.202006042
65,火石山,,3310,三等6613,266928.606,2697538.16,興隆山,9621-4.NE,雪山山脈,台中和平,苗栗泰安,,,24.381922107,121.175054969
